user_id,signup_date,country
U0000001,2025-01-05T00:00:00Z,IN
U0000002,2022-05-14T00:00:00Z,CA
U0000003,2024-06-06T00:00:00Z,AU
U0000004,2023-05-22T00:00:00Z,AU
U0000005,2021-01-03T00:00:00Z,MX
U0000006,2025-06-19T00:00:00Z,IN
U0000007,2024-08-03T00:00:00Z,AU
U0000008,2024-12-07T00:00:00Z,FR
U0000009,2024-07-14T00:00:00Z,US
U0000010,2022-08-27T00:00:00Z,DE
U0000011,2024-10-23T00:00:00Z,DE
U0000012,2020-07-23T00:00:00Z,BR
U0000013,2023-02-01T00:00:00Z,ES
U0000014,2020-02-10T00:00:00Z,US
U0000015,2024-09-07T00:00:00Z,ES
U0000016,2023-06-23T00:00:00Z,MX
U0000017,2023-03-02T00:00:00Z,CA
U0000018,2020-12-19T00:00:00Z,AU
U0000019,2023-11-29T00:00:00Z,GB
U0000020,2020-03-25T00:00:00Z,GB
U0000021,2021-08-10T00:00:00Z,BR
U0000022,2021-03-24T00:00:00Z,ES
U0000023,2021-09-22T00:00:00Z,AU
U0000024,2024-04-29T00:00:00Z,AU
U0000025,2020-06-08T00:00:00Z,ES
U0000026,2020-12-10T00:00:00Z,CA
U0000027,2021-07-04T00:00:00Z,DE
U0000028,2022-05-27T00:00:00Z,DE
U0000029,2024-06-18T00:00:00Z,CA
U0000030,2022-10-23T00:00:00Z,FR
U0000031,2023-03-18T00:00:00Z,AU
U0000032,2022-07-07T00:00:00Z,MX
U0000033,2024-04-07T00:00:00Z,IN
U0000034,2020-12-04T00:00:00Z,DE
U0000035,2024-11-25T00:00:00Z,AU
U0000036,2024-05-01T00:00:00Z,BR
U0000037,2022-01-27T00:00:00Z,CA
U0000038,2022-02-14T00:00:00Z,GB
U0000039,2022-05-06T00:00:00Z,BR
U0000040,2023-03-08T00:00:00Z,IN
U0000041,2021-07-29T00:00:00Z,ES
U0000042,2020-12-20T00:00:00Z,CA
U0000043,2022-11-22T00:00:00Z,FR
U0000044,2024-02-12T00:00:00Z,AU
U0000045,2020-05-09T00:00:00Z,IN
U0000046,2025-05-14T00:00:00Z,IN
U0000047,2023-05-04T00:00:00Z,DE
U0000048,2021-04-10T00:00:00Z,BR
U0000049,2024-11-25T00:00:00Z,DE
U0000050,2023-07-05T00:00:00Z,DE
U0000051,2022-09-13T00:00:00Z,AU
U0000052,2020-12-23T00:00:00Z,US
U0000053,2022-03-11T00:00:00Z,AU
U0000054,2021-04-25T00:00:00Z,DE
U0000055,2024-05-16T00:00:00Z,MX
U0000056,2023-05-20T00:00:00Z,IN
U0000057,2024-09-06T00:00:00Z,IN
U0000058,2023-04-06T00:00:00Z,CA
U0000059,2022-09-03T00:00:00Z,BR
U0000060,2020-06-08T00:00:00Z,AU
U0000061,2023-10-08T00:00:00Z,FR
U0000062,2020-04-12T00:00:00Z,AU
U0000063,2022-09-27T00:00:00Z,FR
U0000064,2024-02-18T00:00:00Z,US
U0000065,2021-08-24T00:00:00Z,CA
U0000066,2022-07-22T00:00:00Z,BR
U0000067,2025-05-12T00:00:00Z,BR
U0000068,2021-06-20T00:00:00Z,AU
U0000069,2021-03-10T00:00:00Z,ES
U0000070,2020-04-14T00:00:00Z,FR
U0000071,2024-01-30T00:00:00Z,FR
U0000072,2020-06-17T00:00:00Z,BR
U0000073,2024-03-21T00:00:00Z,ES
U0000074,2024-09-22T00:00:00Z,DE
U0000075,2024-12-04T00:00:00Z,FR
U0000076,2021-06-09T00:00:00Z,FR
U0000077,2024-10-04T00:00:00Z,ES
U0000078,2020-09-26T00:00:00Z,FR
U0000079,2024-03-26T00:00:00Z,CA
U0000080,2022-04-07T00:00:00Z,BR
U0000081,2025-03-08T00:00:00Z,US
U0000082,2022-01-23T00:00:00Z,AU
U0000083,2024-12-11T00:00:00Z,US
U0000084,2022-11-29T00:00:00Z,DE
U0000085,2024-07-30T00:00:00Z,BR
U0000086,2024-03-08T00:00:00Z,MX
U0000087,2023-03-15T00:00:00Z,IN
U0000088,2025-04-05T00:00:00Z,IN
U0000089,2020-11-01T00:00:00Z,ES
U0000090,2022-08-31T00:00:00Z,GB
U0000091,2023-03-27T00:00:00Z,US
U0000092,2020-01-23T00:00:00Z,BR
U0000093,2021-09-22T00:00:00Z,DE
U0000094,2020-03-24T00:00:00Z,ES
U0000095,2023-08-23T00:00:00Z,BR
U0000096,2022-02-27T00:00:00Z,IN
U0000097,2021-08-17T00:00:00Z,CA
U0000098,2022-01-14T00:00:00Z,FR
U0000099,2024-03-21T00:00:00Z,FR
U0000100,2020-03-09T00:00:00Z,DE
U0000101,2025-01-16T00:00:00Z,IN
U0000102,2021-04-11T00:00:00Z,CA
U0000103,2022-06-28T00:00:00Z,AU
U0000104,2025-02-16T00:00:00Z,FR
U0000105,2023-04-27T00:00:00Z,BR
U0000106,2021-05-18T00:00:00Z,CA
U0000107,2020-02-25T00:00:00Z,FR
U0000108,2022-09-16T00:00:00Z,ES
U0000109,2023-09-25T00:00:00Z,CA
U0000110,2020-02-15T00:00:00Z,FR
U0000111,2022-08-22T00:00:00Z,US
U0000112,2023-01-27T00:00:00Z,GB
U0000113,2021-01-09T00:00:00Z,GB
U0000114,2022-05-11T00:00:00Z,FR
U0000115,2024-12-23T00:00:00Z,ES
U0000116,2025-02-09T00:00:00Z,MX
